time,EMG1,EMG2
0.1625,-0.0259399,0.0311279
0.163,-0.0250244,0.0878906
0.1635,-0.0189209,0.0595093
0.164,-0.0149536,-0.071106
0.1645,-0.00823975,-0.161438
0.165,-0.00427246,-0.203552
0.1655,0.017395,-0.39978
0.166,0.0320435,-0.721436
0.1665,0.0473022,-0.835266
0.167,0.0576782,-0.574646
0.1675,0.0765991,-0.227356
0.168,0.0900269,0.0177002
0.1685,0.072937,0.159607
0.169,0.0384521,0.177917
0.1695,0.0216675,0.138245
0.17,0.0112915,0.085144
0.1705,-0.00946045,0.0631714
0.171,-0.0326538,0.0842285
0.1715,-0.050354,0.101624
0.172,-0.0622559,0.115662
0.1725,-0.0650024,0.126038
0.173,-0.0674438,0.130005
0.1735,-0.0756836,0.127258
0.174,-0.0775146,0.12146
0.1745,-0.0646973,0.108032
0.175,-0.0549316,0.111694
0.1755,-0.050354,0.127563
0.176,-0.0418091,0.132141
0.1765,-0.0341797,0.145264
0.177,-0.0268555,0.146484
0.1775,-0.022583,0.144043
0.178,-0.0106812,0.149536
0.1785,0.00183105,0.121155
0.179,0.0012207,0.085144
0.1795,-0.000610352,0.0579834
0.18,-0.00396729,0.0543213
0.1805,-0.00701904,0.0671387
0.181,-0.00213623,-0.0231934
0.1815,0.0131226,-0.240479
0.182,0.0274658,-0.223999
0.1825,0.0137329,-0.141296
0.183,0.0167847,-0.121155
0.1835,0.038147,-0.115967
0.184,0.045166,-0.107117
0.1845,0.0241089,-0.0772095
0.185,0.0180054,-0.0231934
0.1855,0.0247192,0.0192261
0.186,0.0247192,0.101624
0.1865,0.0216675,0.170898
0.187,0.00488281,0.198669
0.1875,-0.0320435,0.210266
0.188,-0.0531006,0.188904
0.1885,-0.072937,0.150146
0.189,-0.0878906,0.142822
0.1895,-0.078125,0.127563
0.19,-0.0518799,0.0961304
0.1905,-0.0387573,0.083313
0.191,-0.0180054,0.0997925
0.1915,0.00854492,0.0421143
0.192,0.0332642,0.0350952
0.1925,0.045166,-0.178528
0.193,0.0512695,-0.406494
0.1935,0.0540161,-0.368958
0.194,0.0436401,-0.250854
0.1945,0.0427246,-0.108337
0.195,0.0585938,-0.146179
0.1955,0.0582886,-0.167236
0.196,0.0292969,0.0476074
0.1965,0.00366211,0.0799561
0.197,0.0198364,0.00732422
0.1975,0.0418091,0.0305176
0.198,0.0585938,0.0857544
0.1985,0.0613403,0.180969
0.199,0.0631714,0.297546
0.1995,0.0534058,0.52948
0.2,0.0222778,0.587463
0.2005,-0.00946045,0.471802
0.201,-0.0180054,0.305481
0.2015,-0.0201416,0.0384521
0.202,-0.045166,-0.134277
0.2025,-0.0790405,-0.236206
0.203,-0.0820923,-0.291138
0.2035,-0.0488281,-0.214233
0.204,-0.0186157,-0.205383
0.2045,-0.00610352,-0.372009
0.205,-0.00518799,-0.707092
0.2055,0.015564,-0.833435
0.206,0.027771,-0.727844
0.2065,0.0271606,-0.494385
0.207,0.0143433,-0.180664
0.2075,0.00305176,0.0164795
0.208,0.00610352,0.0720215
0.2085,0.0195313,0.093689
0.209,0.0390625,0.124207
0.2095,0.0558472,0.148315
0.21,0.06073,0.0595093
0.2105,0.0762939,-0.245361
0.211,0.0845337,-0.232239
0.2115,0.0817871,0.0500488
0.212,0.0799561,0.194092
0.2125,0.0704956,0.132446
0.213,0.0427246,0.134888
0.2135,0.0222778,0.191345
0.214,0.0100708,0.146179
0.2145,0.00762939,0.122986
0.215,-0.00244141,0.144958
0.2155,-0.00854492,0.16449
0.216,-0.0115967,0.117188
0.2165,-0.0262451,0.0576782
0.217,-0.0454712,0.0741577
0.2175,-0.0564575,0.15625
0.218,-0.0671387,0.190125
0.2185,-0.0866699,0.241089
0.219,-0.0982666,0.342407
0.2195,-0.109863,0.360718
0.22,-0.12207,0.318909
0.2205,-0.116882,0.286865
0.221,-0.102234,0.29541
0.2215,-0.0839233,0.240479
0.222,-0.0595093,0.159302
0.2225,-0.0283813,0.0973511
0.223,-0.0143433,-0.0793457
0.2235,-0.0201416,-0.150146
0.224,-0.0192261,-0.213928
0.2245,0.0198364,-0.441284
0.225,0.071106,-0.765381
0.2255,0.0732422,-0.671997
0.226,0.0119019,-0.235291
0.2265,-0.043335,-0.0582886
0.227,-0.0616455,-0.201416
0.2275,-0.0354004,-0.222778
0.228,0.00579834,-0.192871
0.2285,0.0134277,-0.167542
0.229,-0.00640869,-0.117493
0.2295,-0.0262451,-0.0341797
0.23,-0.0234985,0.0259399
0.2305,-0.0256348,0.0537109
0.231,-0.0192261,0.0683594
0.2315,-0.00183105,0.0793457
0.232,0.00732422,0.0875854
0.2325,-0.00488281,0.0891113
0.233,-0.0128174,0.0888062
0.2335,-0.00366211,0.085144
0.234,0.0140381,0.0866699
0.2345,0.0259399,0.0888062
0.235,0.0427246,0.0906372
0.2355,0.0650024,0.0921631
0.236,0.0991821,0.0906372
0.2365,0.085144,0.0836182
0.237,0.0509644,0.0741577
0.2375,0.0234985,0.0695801
0.238,0.0338745,0.0643921
0.2385,0.0512695,0.0598145
0.239,0.0665283,0.0454712
0.2395,0.0683594,0.0143433
0.24,0.0628662,0.000305176
0.2405,0.0631714,0.0180054
0.241,0.0823975,0.0283813
0.2415,0.0820923,0.0305176
0.242,0.062561,0.0262451
0.2425,0.0421143,0.0228882
0.243,0.0335693,0.0189209
0.2435,0.0189209,0.0158691
0.244,-0.00396729,0.0213623
0.2445,-0.0219727,0.0283813
0.245,-0.0314331,0.0326538
0.2455,-0.0384521,0.0430298
0.246,-0.0549316,0.0518799
0.2465,-0.0674438,0.0436401
0.247,-0.0698853,0.038147
0.2475,-0.0860596,0.0344849
0.248,-0.0967407,0.0259399
0.2485,-0.102844,0.00976563
0.249,-0.0866699,-0.0241089
